week,家概啊,乞闭扁柯,弥历扁柯,弥绊扁柯,碍荐樊,券啦,荐免樊,荐免啊,荐涝樊,荐涝啊,积魂樊,犁硅搁利,拱啊瘤荐,market price,
06岿 4林 (2015.06.25 ~ 2015.07.01),1862,21.98571429,18.55714286,26.48571429,8.614285714,1122.6,7,549.8562,24,7034790,26028,367,59,84.61,
07岿 1林 (2015.07.02 ~ 2015.07.08),1921,21.57142857,17.34285714,26.31428571,5.371428571,1131.2,3,383.4765,102,32049720,26028,367,71.08,84.182,
07岿 2林 (2015.07.09 ~ 2015.07.15),2280,24.6,21.3,28.91428571,11.11428571,1150.18,3,383.4765,102,32049720,26028,367,71,84.182,
07岿 3林 (2015.07.16 ~ 2015.07.22),2407,23.72857143,20.64285714,27.75714286,1.642857143,1170.35,3,383.4765,102,32049720,26028,367,71,84.182,
07岿 4林 (2015.07.23 ~ 2015.07.29),2261,26.61428571,23.71428571,30.35714286,7.5,1166.67,3,383.4765,102,32049720,26028,367,71,84.182,
07岿 5林 (2015.07.30 ~ 2015.08.05),2127,27.95714286,23.94285714,33.11428571,0.9,1164.7,3,383.4765,102,32049720,26028,367,71,84.182,
08岿 1林 (2015.08.06 ~ 2015.08.12),2015,26.58571429,22.5,31.97142857,2.971428571,1179.33,7,555.5448,0,265275,26028,367,87.07,85.206,
08岿 2林 (2015.08.13 ~ 2015.08.19),1816,25.12857143,21.08571429,30.35714286,2.271428571,1195.85,7,555.5448,0,265275,26028,367,87,85.206,
08岿 3林 (2015.08.20 ~ 2015.08.26),1874,23.61428571,20.87142857,27.54285714,8.9,1179.87,7,555.5448,0,265275,26028,367,87,85.206,
08岿 4林 (2015.08.27 ~ 2015.09.02),1844,23.22857143,19.18571429,28.51428571,2.957142857,1201.33,7,555.5448,0,265275,26028,367,87,85.206,
09岿 1林 (2015.09.03 ~ 2015.09.09),1780,21.4,17.02857143,26.71428571,2.557142857,1182.69,5,440.3756,77,25173548,26028,367,76.926,85.046,
09岿 2林 (2015.09.10 ~ 2015.09.16),1691,19.47142857,14.02857143,25.32857143,0.985714286,1173.04,5,440.3756,77,25173548,26028,367,77,85.046,
09岿 3林 (2015.09.17 ~ 2015.09.23),1540,19.97142857,15.04285714,26.02857143,1.828571429,1193.07,5,440.3756,77,25173548,26028,367,77,85.046,
09岿 4林 (2015.09.24 ~ 2015.09.30),1513,20.22857143,15.15714286,26.4,0.414285714,1173.1,5,440.3756,77,25173548,26028,367,77,85.046,
10岿 1林 (2015.10.01 ~ 2015.10.07),1467,17.05714286,11.17142857,23.94285714,5.342857143,1148.05,7,660.5018,5,2448110,26028,367,58.444,83.376,
10岿 2林 (2015.10.08 ~ 2015.10.14),1517,14.74285714,9.328571429,21.01428571,1.142857143,1131.44,7,660.5018,5,2448110,26028,367,58,83.376,
10岿 3林 (2015.10.15 ~ 2015.10.21),1360,16.27142857,10.58571429,24.11428571,0.042857143,1136.01,7,660.5018,5,2448110,26028,367,58,83.376,
10岿 4林 (2015.10.22 ~ 2015.10.28),1358,14.67142857,10.02857143,20.24285714,2.6,1141.16,7,660.5018,5,2448110,26028,367,58,83.376,
10岿 5林 (2015.10.29 ~ 2015.11.04),1340,9.042857143,3.414285714,15.55714286,0.1,1152.78,7,660.5018,5,2448110,26028,367,58,83.376,
11岿 1林 (2015.11.05 ~ 2015.11.11),1352,12.65714286,9.214285714,16.77142857,7.114285714,1170.34,49,3112.9056,124,33066144,26028,367,51.235,81.294,
11岿 2林 (2015.11.12 ~ 2015.11.18),1354,13.08571429,10.31428571,16.22857143,7.014285714,1154.62,49,3112.9056,124,33066144,26028,367,51,81.294,
11岿 3林 (2015.11.19 ~ 2015.11.25),1349,9.585714286,6.914285714,12.64285714,3.442857143,1156.83,49,3112.9056,124,33066144,26028,367,51,81.294,
11岿 4林 (2015.11.26 ~ 2015.12.02),1380,4.114285714,0.314285714,8.614285714,1.514285714,1163.64,49,3112.9056,124,33066144,26028,367,51,81.294,
12岿 1林 (2015.12.03 ~ 2015.12.09),1426,4.114285714,-0.342857143,9.057142857,0.5,1187.58,388,18774.854,365,96858768,26028,367,46.795,83.779,
12岿 2林 (2015.12.10 ~ 2015.12.16),1349,6.3,3.057142857,9.842857143,3.514285714,1182.43,388,18774.854,365,96858768,26028,367,47,83.779,
12岿 3林 (2015.12.17 ~ 2015.12.23),1331,2.242857143,-1.871428571,6.914285714,0.657142857,1170.95,388,18774.854,365,96858768,26028,367,47,83.779,
12岿 4林 (2015.12.24 ~ 2015.12.30),1346,0.814285714,-3.828571429,6.057142857,0.185714286,1175.45,388,18774.854,365,96858768,26028,367,47,83.779,
12岿 5林 (2015.12.31 ~ 2016.01.06),1316,3.042857143,-1.542857143,8.271428571,0.114285714,1207.94,388,18774.854,365,96858768,26028,367,47,83.779,
01岿 1林 (2016.01.07 ~ 2016.01.13),1268,-0.242857143,-4.2,4.385714286,0.114285714,1214.81,203,10686.351,90,23419167,21087,353.6538462,47.202,85.004,
01岿 2林 (2016.01.14 ~ 2016.01.20),1328,-2.114285714,-6.285714286,2.657142857,0.742857143,1197.57,203,10686.351,90,23419167,21087,353.6538462,47,85.004,
01岿 3林 (2016.01.21 ~ 2016.01.27),1431,-4.971428571,-9.628571429,-0.271428571,0.442857143,1208.11,203,10686.351,90,23419167,21087,353.6538462,47,85.004,
01岿 4林 (2016.01.28 ~ 2016.02.03),1811,-0.542857143,-4.542857143,3.8,2.214285714,1206.35,203,10686.351,90,23419167,21087,353.6538462,47,85.004,
02岿 1林 (2016.02.04 ~ 2016.02.05),2103,0.5,-5.171428571,6.471428571,0.1,1207,141,7166.1524,5,2508237,21087,353.6538462,55.132,89.017,
02岿 2林 (2016.02.11 ~ 2016.02.17),1915,3.9,-0.671428571,8.857142857,4.828571429,1233.87,141,7166.1524,5,2508237,21087,353.6538462,55,89.017,
02岿 3林 (2016.02.18 ~ 2016.02.24),1742,2.514285714,-2.114285714,7.385714286,0.128571429,1243.13,141,7166.1524,5,2508237,21087,353.6538462,55,89.017,
02岿 4林 (2016.02.25 ~ 2016.03.02),1733,1.757142857,-3.342857143,7.2,1.185714286,1198.5,141,7166.1524,5,2508237,21087,353.6538462,55,89.017,
03岿 1林 (2016.03.03 ~ 2016.03.09),1817,8.085714286,3.442857143,13.2,6.414285714,1187.9,61,3935.6361,9,2539647,21087,354,73.59,87.002,
03岿 2林 (2016.03.10 ~ 2016.03.16),1923,3.914285714,-1.285714286,9.757142857,0.042857143,1164.3,61,3935.6361,9,2539647,21087,354,74,87.002,
03岿 3林 (2016.03.17 ~ 2016.03.23),1901,9.428571429,3.671428571,15.77142857,1.414285714,1169.05,61,3935.6361,9,2539647,21087,354,74,87.002,
03岿 4林 (2016.03.24 ~ 2016.03.30),1906,8.4,2.1,15.01428571,0.142857143,1147.89,61,3935.6361,9,2539647,21087,354,74,87.002,
03岿 5林 (2016.03.31 ~ 2016.04.06),1912,12.45714286,6.014285714,19.48571429,3.357142857,1151.64,61,3935.6361,9,2539647,21087,354,74,87.002,
04岿 1林 (2016.04.07 ~ 2016.04.12),1905,13.24285714,8.214285714,19.5,5.171428571,1146.99,12,881.6066,30,7762776,21087,354,72.858,86.818,
04岿 2林 (2016.04.14 ~ 2016.04.20),2146,13.64285714,8.157142857,19.8,5.8,1149.99,12,881.6066,30,7762776,21087,354,73,86.818,
04岿 3林 (2016.04.21 ~ 2016.04.27),2193,15.1,9.571428571,21.5,7.885714286,1144.83,12,881.6066,30,7762776,21087,354,73,86.818,
04岿 4林 (2016.04.28 ~ 2016.05.04),2107,16.25714286,10.34285714,22.57142857,5.328571429,1169.3,12,881.6066,30,7762776,21087,354,73,86.818,
05岿 2林 (2016.05.09 ~ 2016.05.11),2194,16.9,11.57142857,22.74285714,3.385714286,1176.8,3,327.9256,29,9734046,21087,354,89.172,85.5,
05岿 2林 (2016.05.12 ~ 2016.05.18),2231,17.64285714,10.71428571,24.77142857,2.657142857,1186.2,3,327.9256,29,9734046,21087,354,89,85.5,
05岿 3林 (2016.05.19 ~ 2016.05.25),2189,19.78571429,12.88571429,26.81428571,2.9,1186.25,3,327.9256,29,9734046,21087,354,89,85.5,
05岿 4林 (2016.05.26 ~ 2016.06.01),2118,20.98571429,15.65714286,27.14285714,0.171428571,1163.55,3,327.9256,29,9734046,21087,354,89,85.5,
