week,소매가,평균기온,최저기온,최고기온,강수량,환율,수출량,수출가,수입량,수입가,생산량,재배면적,물가지수
08월 1주 (2016.08.04 ~ 2016.08.10),"10,039",28.11428571,23.71428571,33.7,1.142857143,1103.49,1070.25,6777918,,,5305375,670.4375,83.888
08월 2주 (2016.08.11 ~ 2016.08.17),"9,853",28.78571429,24.35714286,34.42857143,1.185714286,1115.57,1070.25,6777918,,,5305375,670.4375,83.888
08월 3주 (2016.08.18 ~ 2016.08.24),"9,884",27.85714286,23.47142857,33.48571429,0.585714286,1122.52,1070.25,6777918,,,5305375,670.4375,83.888
08월 4주 (2016.08.25 ~ 2016.08.31),"9,528",21.95714286,17.95714286,26.67142857,6.942857143,1116.45,1070.25,6777918,,,5305375,670.4375,83.888
09월 1주 (2016.09.01 ~ 2016.09.07),"9,660",23.54285714,20.22857143,28.04285714,8.014285714,1108.73,903.75,6469031.25,,,5305375,670.4375,85.6
09월 2주 (2016.09.08 ~ 2016.09.13),"10,214",22.48571429,18.71428571,27.62857143,2.671428571,1126.06,903.75,6469031.25,,,5305375,670.4375,85.6
09월 3주 (2016.09.19 ~ 2016.09.21),"10,345",20.41428571,16.94285714,24.52857143,13.9,1104.02,904,"6,469,031",,,5305375,670.4375,85.6
09월 4주 (2016.09.22 ~ 2016.09.28),"10,160",20.84285714,16.92857143,26.04285714,2.171428571,1101.91,904,"6,469,031",,,5305375,670.4375,85.6
09월 5주 (2016.09.29 ~ 2016.10.05),"9,668",20.04285714,17.05714286,23.8,12.01428571,1115.76,904,"6,469,031",,,5305375,670.4375,92.811
10월 1주 (2016.10.06 ~ 2016.10.12),"9,455",15.72857143,11.62857143,21.04285714,4.7,1136.41,2007.5,18707343.75,,,5305375,670.4375,92.811
10월 2주 (2016.10.13 ~ 2016.10.19),"12,695",16.17142857,11.84285714,22.14285714,2.685714286,1136.21,2007.5,18707343.75,,,5305375,670.4375,92.811
10월 3주 (2016.10.20 ~ 2016.10.26),"13,988",15.31428571,11.77142857,19.55714286,2.414285714,1147.32,2007.5,18707343.75,,,5305375,670.4375,92.811
10월 4주 (2016.10.27 ~ 2016.11.02),"16,868",9.357142857,4.971428571,13.98571429,0.957142857,1141.45,2007.5,18707343.75,,,5305375,670.4375,92.811
11월 1주 (2016.11.03 ~ 2016.11.09),"17,996",9.957142857,4.957142857,15.62857143,0.728571429,1165.58,6965.25,60885604.5,1,36022,5305375,670.4375,89.764
11월 2주 (2016.11.10 ~ 2016.11.16),"23,523",9.942857143,4.428571429,15.98571429,1.328571429,1181.08,6965.25,60885604.5,1,36022,5305375,670.4375,89.764
